Date,Open,High,Low,Close,Adj Close,Volume
2023-02-20,22778.470703,23408.191406,22409.277344,23243.062500,23243.062500,27135662957
2023-02-21,23246.712891,23534.990234,22724.408203,22941.826172,22941.826172,29340720356
2023-02-22,22942.826172,22972.332031,22263.158203,22807.732422,22807.732422,28475667565
2023-02-23,22809.501953,23132.164063,22337.939453,22597.166016,22597.166016,28757798964
2023-02-24,22595.763672,22725.429688,21807.943359,21916.640625,21916.640625,25330637326
2023-02-25,21918.527344,21926.546875,21623.605469,21920.429688,21920.429688,15228867492
2023-02-26,21919.269531,22421.406250,21834.210938,22325.521484,22325.521484,15771595568
2023-02-27,22325.746094,22517.220703,21880.150391,22171.482422,22171.482422,21358902631
2023-02-28,22170.509766,22221.937500,21816.548828,21885.335938,21885.335938,19415754884
2023-03-01,21888.718750,22427.162109,21846.828125,22164.501953,22164.501953,23117097627
2023-03-02,22164.943359,22244.996094,21932.421875,22150.041016,22150.041016,19235382456
2023-03-03,22151.142578,22156.498047,20890.906250,21014.589844,21014.589844,24491284673
2023-03-04,21014.818359,21054.525391,20860.759766,21005.822266,21005.822266,10492892157
2023-03-05,21006.568359,21250.464844,20962.402344,21114.173828,21114.173828,12532696916
2023-03-06,21115.400391,21145.718750,20982.525391,20988.779297,20988.779297,16238354371
2023-03-07,20987.437500,21080.257813,20865.443359,21064.697266,21064.697266,21582012937
2023-03-08,21061.542969,21122.982422,20579.210938,20587.609375,20587.609375,21363501847
2023-03-09,20589.505859,20665.291016,19103.751953,19235.703125,19235.703125,28683645998
2023-03-10,20589.505859,20665.945313,19103.751953,19235.703125,19235.703125,28683645998
2023-03-11,19239.464844,19235.544922,18531.486328,18943.587891,18943.587891,37139999552
2023-03-12,18944.183594,19511.582031,18832.310547,19379.527344,19379.527344,28347620356
2023-03-13,19375.412109,20769.537109,19207.072266,20749.800781,20749.800781,27410915939
2023-03-14,20742.740234,22875.218750,20541.517578,22565.941406,22565.941406,46130944785
2023-03-15,22569.888672,24711.398438,22474.365234,23069.601563,23069.601563,50921737937
2023-03-16,23092.769531,23923.964844,22718.160156,23035.966797,23035.966797,41255860230
2023-03-17,23033.599609,23726.843750,22874.439453,23604.212891,23604.212891,31907892190
2023-03-18,23606.410156,25844.054688,23514.158203,25505.626953,25505.626953,47181679555
2023-03-19,25528.121094,25752.558594,24719.275391,25025.171875,25025.171875,33152085580
2023-03-20,25028.535156,26626.992188,24971.195313,26251.658203,26251.658203,35362250805
2023-03-21,26254.398438,26762.228516,25536.767578,25905.304688,25905.304688,41771705239
2023-03-22,25906.382813,26409.886719,25616.035156,26153.638672,26153.638672,33511138451
2023-03-23,26137.769531,26538.818359,24628.964844,25124.207031,25124.207031,30713129240
